name,year,imdb_id
It's a Wonderful Life,1946,tt0038650
Die Hard,1988,tt0095016
Scrooge,1951,tt0044008
Rudolph the Red-Nosed Reindeer,1964,tt0058536
National Lampoon's Christmas Vacation,1989,tt0097958
Home Alone,1990,tt0099785
A Christmas Story,1983,tt0085334
Miracle on 34th Street,1947,tt0039628
Scrooged,1988,tt0096061
Elf,2003,tt0319343
Bad Santa,2003,tt0307987
Edward Scissorhands,1990,tt0099487
Trading Places,1983,tt0086465
The Santa Clause,1994,tt0111070
Joyeux Noël,2005,tt0424205
Gremlins,1984,tt0087363
The Nightmare Before Christmas,1993,tt0107688
The Shop Around the Corner,1940,tt0033045
A Charlie Brown Christmas,1965,tt0059026
The Christmas Chronicles,2018,tt2990140
Silent Night,2002,tt0338434
The Night Before,2015,tt3530002
Love Actually,2003,tt0314331
How the Grinch Stole Christmas!,1966,tt0060345
Last Christmas,2019,tt8623904
The Family Man,2000,tt0218967
It Happened on Fifth Avenue,1947,tt0039502
The Polar Express,2004,tt0338348
The Year Without a Santa Claus,1974,tt0072424
Prancer,1989,tt0098115
Suzumiya Haruhi no shôshitsu,2010,tt1572781
Krampus,2015,tt3850590
Shazam!,2019,tt0448115
Lethal Weapon,1987,tt0093409
"Lovely, Still",2008,tt1150947
Batman Returns,1992,tt0103776
The Ref,1994,tt0110955
Jingle All the Way,1996,tt0116705
Santa Claus Is Comin' to Town,1970,tt0066327
The Bishop's Wife,1947,tt0039190
Just Friends,2005,tt0433400
The Snowman,1982,tt0084701
Surviving Christmas,2004,tt0252028
The Little Drummer Boy,1968,tt0063230
Serendipity,2001,tt0240890
White Christmas,1954,tt0047673
Black Christmas,1974,tt0071222
Remember the Night,1940,tt0032981
The House Without a Christmas Tree,1972,tt0068720
The Nativity Story,2006,tt0762121
Christmas in Boston,2004,tt0497025
Better Watch Out,2016,tt4443658
Joulutarina,2007,tt0772176
Un conte de Noël,2008,tt0993789
Christmas in Connecticut,1945,tt0037595
Fatman,2020,tt10310140
Noel,2004,tt0383534
Christmas with the Kranks,2004,tt0388419
The Santa Suit,2010,tt1714827
Holiday Affair,1949,tt0041473
Arthur Christmas,2011,tt1430607
Crown for Christmas,2015,tt5133572
One Magic Christmas,1985,tt0089731
Beyond Tomorrow,1940,tt0032247
12 Dates of Christmas,2011,tt1846442
Kristin's Christmas Past,2013,tt3043594
The Lemon Drop Kid,1951,tt0043733
The Christmas Card,2006,tt0783494
A Very Harold & Kumar 3D Christmas,2011,tt1268799
Operation Christmas Drop,2020,tt13236566
Trapped in Paradise,1994,tt0111477
Nativity!,2009,tt1242447
Holiday in Handcuffs,2006,tt0938666
Frosty the Snowman,1969,tt0064349
Mixed Nuts,1994,tt0110538
Mrs. Miracle,2008,tt1431115
Nothing Like the Holidays,2008,tt1151915
Friday After Next,2002,tt0293815
Pete's Christmas,2013,tt3004544
November Christmas,2010,tt1708658
Deck the Halls,2006,tt0790604
Help for the Holidays,2012,tt2374486
A Boyfriend for Christmas,2004,tt0385567
Reindeer Games,2000,tt0184858
Four Christmases,2008,tt0369436
The Christmas Spirit,2013,tt3101386
The Most Wonderful Time of the Year,2008,tt1327788
Christmas Eve,2015,tt3703148
Grumpy Cat's Worst Christmas Ever,2014,tt3801438
Snowglobe,2007,tt1068284
A Season for Miracles,1999,tt0226418
The Christmas Shoes,2002,tt0330152
A Grandpa for Christmas,2007,tt0950740
Christmas Mail,2010,tt1663628
Window Wonderland,2013,tt2994382
All I Want for Christmas,1991,tt0101301
The Ultimate Christmas Present,2000,tt0256466
Jack Frost,1998,tt0141109
The Wonderful World of Disney: Santa Who?,2000,tt0251382
I'll Be Home for Christmas,1998,tt0155753
